20,9640,14925,408,
30,22376,12191,12042,
33,1810,3799,4445,
36,5655,34449,16806,
40,1057,2026,2113,
46,2628,4741,4872,
53,7242,10395,14391,
76,28657,2109,27039,
93,13183,
124,261,437,543,
133,19695,21320,31968,
146,2319,3411,5279,
177,35462,28600,15225,
191,1,29,152,
198,7763,35276,9052,
211,334,1951,4670,
221,1,29,152,
280,4537,7509,14469,
290,14326,31460,9254,
295,976,2567,8899,
302,1068,7219,13110,
308,12943,1617,14329,
314,302,429,1179,
316,5539,2981,30445,
331,5140,13969,16132,
336,32207,35765,13937,
341,12807,13088,20546,
344,1182,8194,16157,
373,1264,6069,7926,
406,28600,5370,13458,
408,1934,4209,5254,
415,34303,2842,1443,
427,1299,1373,2142,
430,73,190,1105,
437,261,1139,1197,
468,1,29,152,
472,26117,5609,10484,
474,28553,14254,1057,
511,31331,9982,17486,
542,317,3866,4930,
549,1,29,152,
555,3420,30946,81,
577,11776,14413,15133,
579,10984,25404,32032,
609,284,458,466,
628,133,3807,3865,
664,8358,9401,11897,
695,2026,2113,2508,
711,211,1832,1951,
713,22744,3866,4930,
721,146,261,543,
727,6674,8602,11645,
740,3788,4622,6142,
766,124,261,437,
775,1,29,152,
807,12821,28297,14782,
808,6455,18210,20037,
827,2313,7399,8890,
834,24707,35677,11891,
853,5083,11766,19638,
855,25964,4529,21739,
866,408,1934,4209,
885,695,2026,2113,
951,1954,14559,33905,
957,1646,10337,25911,
963,2136,2493,6455,
990,8816,20517,9976,
1010,31697,21342,4497,
1011,15890,6070,1899,
1026,25266,740,1617,
1028,26075,16226,27137,
1035,1699,1730,4897,
1043,1241,1372,2333,
1045,27094,
1046,1,29,152,
1057,5869,6820,6821,
1089,9474,30518,27200,
1115,11543,14413,15133,
1134,34980,25585,34212,
1136,3366,8938,9213,
1178,3523,16942,19814,
1179,11067,11734,23638,
1182,5462,5958,10734,
1210,30204,6624,17771,
1216,3065,3837,4339,
1234,17470,23521,24557,
1241,28698,30056,32920,
1246,14049,2235,11320,
1253,2124,3031,3433,
1266,30946,81,1555,
1275,73,190,430,
1278,8935,19678,21777,
1288,23239,5510,22953,
1289,5004,7207,11863,
1292,3753,9210,9635,
1328,284,458,466,
1332,3440,25775,24118,
1336,26252,25225,5218,
1353,81,1169,1555,
1355,1832,4419,8035,
1363,846,4137,4226,
1365,19898,8145,1057,
1372,1241,2333,5309,
1401,214,5250,9711,
1411,3127,6915,7598,
1425,15723,21728,27116,
1430,12335,13250,14224,
1441,2092,8783,9898,
1443,6981,15363,1299,
1449,2508,5258,9878,
1456,1603,2121,7974,
1486,8623,30411,191,
1488,2731,4623,16556,
1490,81,1169,1353,
1492,5081,6228,9878,
1505,5106,20713,14085,
1530,2799,11200,
1539,12059,19101,11446,
1540,3284,14305,32233,
1555,81,1169,1743,
1570,5785,32490,29898,
1610,2621,2493,3653,
1617,29224,4193,1947,
1618,4231,10132,16114,
1621,34709,6376,8234,
1624,18116,1748,5004,
1634,437,1139,5005,
1646,3621,8200,9811,
1653,9390,27817,
1684,3647,555,2280,
1691,1879,5315,7117,
1738,2124,3031,3433,
1763,27560,26239,13014,
1790,18572,24512,6372,
1796,81,1169,1743,
1805,2106,33526,5437,
1817,376,1182,2000,
1871,28258,18762,5592,
1884,695,885,2026,
1888,2788,8469,3683,
1895,29224,1947,29098,
1899,1011,22499,10839,
1916,18605,7035,8946,
1947,29098,29224,5495,
1950,14689,5178,11363,
2020,52,603,2125,
2029,18129,173,1050,
2030,167,562,819,
2032,6447,27817,13648,
2106,8051,5820,21182,
2109,7051,12245,26806,
2120,124,261,437,
2168,695,885,1884,
2176,7956,1182,1817,
2205,9022,23807,25226,
2207,418,1871,5351,
2224,4145,4197,7764,
2235,33095,53,3296,
2283,14524,
2309,11414,5645,6230,
2319,8568,12540,19420,
2326,6455,13249,15312,
2333,23667,32172,30896,
2337,8204,15087,17103,
2342,35494,23895,10960,
2345,1589,4292,6277,
2347,1115,11543,15060,
2376,12928,24605,33117,
2388,3570,5404,7039,
2397,13223,34311,16344,
2401,12612,21717,26456,
2421,1085,2217,17310,
2434,1234,6674,8602,
2439,24308,18881,33457,
2458,9254,23164,7010,
2461,28968,4529,25964,
2485,7956,2176,727,
2496,2807,8034,16766,
2532,35287,4728,5919,
2534,665,1846,1851,
2547,2775,2224,7764,
2574,17084,4108,4424,
2577,191,1486,3844,
2578,12191,22884,12042,
2603,15081,20294,30545,
2606,5522,12370,16504,
2609,7505,15946,22234,
2610,727,1234,1629,
2623,2148,7451,9514,
2624,27137,
2634,12042,32350,3349,
2635,167,819,1378,
2657,27983,10850,14426,
2677,11443,11455,17013,
2679,10812,34473,35955,
2680,885,23066,34477,
2684,28488,221,8623,
2690,711,1832,4419,
2704,7416,8062,14778,
2712,19735,9496,9939,
2716,13462,21722,22066,
2731,1488,23510,6740,
2772,15831,5360,32598,
2774,12364,28130,27526,
2775,5801,21177,25433,
2779,10948,28020,3768,
2783,302,429,1947,
2788,1888,133,261,
2799,2567,27404,976,
2816,7424,73,190,
2827,20536,15648,8512,
2839,15420,23462,25224,
2842,33923,9956,25102,
2867,17963,4529,25964,
2870,7728,8134,10006,
2890,17065,25726,21605,
2927,14411,18266,15199,
2940,2951,3755,4342,
3047,191,1486,3844,
3084,2776,3384,8546,
3088,26770,
3120,473,3174,3306,
3123,81,1169,1743,
3133,10893,11461,17571,
3177,20684,
3179,9939,19735,34787,
3187,577,26902,12133,
3192,20446,
3197,20760,7029,1,
3222,27269,32571,8357,
3225,2807,8034,16766,
3247,33437,11047,31614,
3269,22368,1753,6175,
3284,1183,2828,3460,
3292,32010,7073,13376,
3296,16004,14515,10395,
3299,11707,21456,
3320,11753,6572,11314,
3337,10451,22807,26563,
3349,2120,4472,5224,
3367,9294,4884,27160,
3372,19009,922,2026,
3394,1603,2121,8358,
3430,819,3103,7113,
3440,16194,22976,1332,
3461,35449,29781,2439,
3496,26388,32747,26209,
3524,35045,14365,30925,
3527,13847,22923,30042,
3543,660,2026,2113,
3544,17246,81,1169,
3570,5404,12028,19054,
3580,6213,13188,29130,
3586,211,334,1951,
3614,7736,14519,15460,
3617,4948,12566,33507,
3620,12245,26806,17381,
3632,11910,22856,14529,
3640,11350,15286,19466,
3646,11070,6436,16248,
3647,30807,21718,26461,
3673,1441,2092,8783,
3683,124,261,437,
3688,29499,5601,10357,
3694,14405,16947,18193,
3724,14369,20792,1759,
3725,6878,7851,2120,
3755,2951,4342,4597,
3758,4599,8568,12136,
3762,14247,4825,7468,
3802,7956,31617,25950,
3821,15233,31694,33432,
3825,11537,12436,18487,
3833,4741,12571,14315,
3844,24284,5923,35853,
3849,13269,1871,11100,
3857,14972,21230,7103,
3865,3807,4177,6944,
3866,4930,7090,7990,
3881,2333,5309,7736,
3892,21347,34535,323,
3894,6213,13188,29130,
3903,10425,14230,1386,
3905,28909,17796,31582,
3909,17241,4472,18275,
3917,1879,5315,20016,
3925,2026,2113,2508,
3943,11461,17571,21730,
3953,2796,3403,5125,
3983,546,28938,28950,
3988,1629,6674,8602,
4005,30471,35051,29931,
4007,32741,35655,31674,
4012,14397,20299,21099,
4016,4123,7898,13146,
4023,5680,12258,33915,
4037,11921,19967,4012,
4086,1568,20798,21836,
4092,8532,23762,26941,
4095,19675,1160,11396,
4100,1359,2133,18169,
4103,33185,426,2808,
4105,33060,11379,34659,
4112,5460,15314,27911,
4117,735,3082,4863,
4123,13146,9254,15037,
4137,31027,14411,18266,
4141,1759,2513,3790,
4162,8623,30411,191,
4163,1407,1748,1810,
4185,1264,6069,7926,
4188,3768,6687,7572,
4192,32597,
4193,13540,5495,29098,
4242,32112,33421,2483,
4246,9956,29079,23563,
4280,1759,2513,3824,
4281,8913,33700,8443,
4289,3956,19862,29108,
4295,9510,23890,31201,
4302,14420,6712,654,
4305,3892,7629,40,
4310,17953,14358,34206,
4315,1359,2133,18169,
4316,12191,22884,12042,
4328,14288,17367,28146,
4335,1927,5101,19943,
4350,741,27332,32365,
4358,11362,11751,14214,
4362,3847,35909,4823,
4367,19513,173,2271,
4389,3866,7090,7990,
4393,1738,2124,3031,
4409,11458,
4434,81,1169,1353,
4470,11942,1183,2828,
4472,3349,34225,2120,
4494,4108,4424,6269,
4502,19372,32112,22471,
4511,1966,7198,9361,
4516,418,1548,5351,
4518,302,429,1947,
4529,25964,14411,18266,
4549,29446,31115,23915,
4573,30204,6624,17771,
4605,7686,31438,25685,
4615,2917,4599,5353,
4622,9643,29062,3788,
4623,19324,15440,31490,
4655,5081,6228,19871,
4667,25964,10514,17519,
4670,334,1951,25865,
4681,6959,14909,16174,
4682,12716,11382,16533,
4697,4755,6193,9435,
4698,10152,4,14,
4714,21221,28151,34341,
4723,13653,14584,17810,
4728,2018,6591,8970,
4740,4665,5480,6686,
4741,12571,34235,22793,
4749,40,3847,4362,
4752,7942,22086,22586,
4755,17511,9435,10104,
4779,10133,21358,34323,
4808,1888,8505,8469,
4814,6289,28363,418,
4816,81,1169,1555,
4831,2827,5140,11364,
4850,24436,25144,22619,
4859,29148,15239,6597,
4871,302,429,6984,
4875,4081,12317,13485,
4879,376,3484,5462,
4884,28914,8050,25465,
4889,33304,32600,18984,
4897,1699,1730,6353,
4922,1807,6810,13003,
4973,25878,20185,1411,
4974,5419,7626,14639,
4989,9477,17141,22055,
5013,17079,32560,7437,
5101,21320,14411,18266,
5109,2250,6095,10312,
5110,26442,29147,25277,
5114,4158,8816,13392,
5126,3755,2951,4342,
5132,29365,20484,1250,
5137,9636,20351,23952,
5143,6895,29096,1430,
5195,1275,4889,35386,
5204,30159,30683,4908,
5218,2858,24525,15815,
5224,2120,3349,12258,
5228,660,2739,6239,
5257,6884,12258,5429,
5269,31246,25658,7103,
5282,4755,6193,9435,
5285,24940,16474,21052,
5287,24605,35494,7074,
5291,5309,7736,15460,
5298,906,1960,3128,
5350,5680,5820,12258,
5352,3392,4271,5907,
5360,3243,10349,30777,
5399,831,4624,13075,
5416,13761,27948,2867,
5423,948,2114,2706,
5482,22455,35960,32771,
5483,20561,14316,2635,
5486,6369,21612,40,
5495,29098,13730,26322,
5500,191,1486,3844,
5507,21891,33875,34763,
5510,34399,16104,28160,
5528,20215,21015,21289,
5534,13759,24545,27487,
5567,30311,3175,3666,
5597,73,190,430,
5598,3753,9210,9635,
5655,939,3544,17844,
5658,21340,2981,7680,
5670,29516,21728,290,
5675,15141,21956,406,
5698,7923,10257,35635,
5703,2026,2113,3490,
5709,3348,11910,35500,
5737,34813,16030,23462,
5754,1313,2483,2733,
5770,29158,
5801,25433,27883,34164,
5827,9390,26322,34195,
5846,21952,11497,4687,
5865,35888,
5882,2280,32692,33386,
5919,33544,28786,1603,
5923,1,29,152,
5925,4295,9510,23890,
5931,2092,8783,9898,
5933,17246,31455,3544,
5935,25507,2567,27404,
5959,25630,
5963,280,4537,7509,
5965,22037,14436,17946,
5967,2109,18076,1013,
5971,7035,2635,18605,
5991,1759,2513,3824,
6009,373,1264,6069,
6013,21730,27392,124,
6031,6181,7095,23321,
6038,7451,10077,11519,
6058,4231,10132,16114,
6066,7522,18077,19103,
6067,2500,5302,6588,
6122,5159,19437,23854,
6130,1057,5869,5870,
6138,27395,18524,13013,
6150,1411,1879,5315,
6152,4889,9925,12638,
6155,20921,2182,3410,
6158,24091,29506,35090,
6163,1668,30193,23724,
6168,31917,2458,10113,
6175,562,844,8454,
6184,1183,2828,3460,
6193,4755,13565,16810,
6253,2001,33862,24434,
6265,1,29,152,
6269,4108,4424,18966,
6273,5870,6130,9071,
6289,8200,28860,3621,
6308,323,2250,8312,
6325,19751,18984,8469,
6332,8977,6496,11122,
6360,1392,418,5351,
6366,22541,25579,10292,
6376,610,10972,8234,
6380,27891,33640,3646,
6394,25925,30819,27189,
6401,14120,14515,16004,
6411,1,29,152,
6414,19870,15669,3187,
6427,2124,3031,3433,
6449,10251,14888,18444,
6456,15312,1832,4419,
6496,20815,33449,26189,
6511,1428,17349,7505,
6521,154,9495,16975,
6555,4283,30020,1505,
6579,31674,17801,35574,
6595,1884,10451,22807,
6597,3847,35909,4823,
6598,5370,13657,16933,
6623,221,22312,33726,
6624,695,885,1884,
6628,11019,11461,17571,
6642,15896,3847,10001,
6651,20464,
6653,29035,22241,5846,
6659,3788,6142,9919,
6680,31968,4847,10161,
6690,23170,28227,29974,
6712,654,1313,2483,
6727,10337,25911,31961,
6764,1392,14646,25486,
6767,29224,29098,9055,
6777,23829,
6789,1,29,152,
6808,27677,167,2018,
6818,20276,33145,35892,
6832,16317,19810,30388,
6878,35045,4472,7851,
6881,5285,12370,16504,
6884,33792,14315,5350,
6890,12482,27842,31091,
6891,660,2224,2739,
6892,3944,21442,32420,
6905,15617,1618,4231,
6925,562,844,2030,
6927,2313,7031,7399,
6958,6888,11713,21157,
6965,3944,32420,21442,
6972,30329,18674,
6989,11560,11599,21630,
7025,418,5351,11100,
7029,29884,20760,20098,
7039,5404,12028,19054,
7051,12245,26806,21495,
7054,3982,20429,8150,
7071,1460,11004,32755,
7073,15420,654,845,
7074,26596,2500,5302,
7076,29098,29224,1947,
7093,12220,28914,15877,
7103,31979,15877,341,
7108,19372,14628,22471,
7179,628,7607,7718,
7180,34047,7704,34824,
